players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
30,42.8,38,18196,2104,6503,8087,3788,575,18188,468,255,54.5,214,45.7,8984,44443,20934,404,315,104,557,256,10113,926,/en/squads/8d6fd021/2020-2021/Alaves-Stats
27,49.9,38,21405,1919,5860,10254,5480,675,21400,501,304,60.7,197,39.3,11148,64935,35153,685,508,147,496,335,13474,1477,/en/squads/2b390eca/2020-2021/Athletic-Club-Stats
25,52.3,38,24561,1967,6777,12025,5937,894,24555,588,374,63.6,214,36.4,13675,67513,36112,694,483,190,503,342,16649,1598,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
25,65.5,38,31975,2240,7299,14908,9965,1217,31967,770,513,66.6,257,33.4,21041,104711,56171,972,930,276,477,341,25054,2144,/en/squads/206d90db/2020-2021/Barcelona-Stats
25,53.6,38,23642,2102,6948,11168,5736,790,23631,638,420,65.8,218,34.2,13276,66794,34503,694,547,172,591,368,15686,1428,/en/squads/fc536746/2020-2021/Real-Betis-Stats
30,53.3,38,23271,2443,7999,10717,4742,593,23264,465,276,59.4,189,40.6,13151,62112,31160,514,431,109,533,279,15060,1299,/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats
34,34.8,38,15979,2120,5874,6716,3598,438,15975,513,321,62.6,192,37.4,7259,41549,20745,455,357,79,561,294,7859,838,/en/squads/ee7c297c/2020-2021/Cadiz-Stats
30,49.3,38,20829,1764,5553,9563,5924,671,20819,519,320,61.7,199,38.3,10428,53693,24386,507,373,102,657,320,11685,1282,/en/squads/bea5c710/2020-2021/Eibar-Stats
30,47.5,38,20849,2572,8345,9141,3560,417,20846,618,365,59.1,253,40.9,11794,58755,28514,501,368,73,614,345,13378,922,/en/squads/6c8b07df/2020-2021/Elche-Stats
31,43.3,38,17678,1589,4689,7849,5367,669,17673,483,263,54.5,220,45.5,8137,43690,21035,443,390,116,607,354,8882,1076,/en/squads/7848bd64/2020-2021/Getafe-Stats
34,41.4,38,17155,2133,6002,7387,3948,532,17149,516,312,60.5,204,39.5,8122,43889,21461,411,288,105,526,346,8979,961,/en/squads/a0435291/2020-2021/Granada-Stats
27,48.3,38,21271,2396,7960,9099,4469,594,21267,653,426,65.2,227,34.8,11737,65272,34054,617,452,113,539,305,13397,1173,/en/squads/c6c493e6/2020-2021/Huesca-Stats
29,52.2,38,21882,2407,7652,9504,4931,679,21876,615,366,59.5,249,40.5,12435,63695,33417,621,446,136,548,326,14069,1526,/en/squads/9800b6a1/2020-2021/Levante-Stats
28,43.2,38,18965,2103,6010,8686,4447,623,18959,441,245,55.6,195,44.2,8688,42982,19734,345,315,64,588,310,10118,1200,/en/squads/03c57e2b/2020-2021/Osasuna-Stats
30,59.3,38,27856,2279,7913,12359,7814,1021,27853,646,429,66.4,216,33.4,17126,95094,49939,963,739,242,546,315,20538,1909,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
30,54.9,38,22623,2089,6527,10724,5581,823,22611,550,330,60.0,220,40.0,12816,70621,37154,626,492,125,518,311,14729,1530,/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats
26,60.9,38,26485,2495,8190,12249,6228,784,26478,599,392,65.4,207,34.6,15794,78278,38933,691,552,151,516,309,19128,1606,/en/squads/ad2be733/2020-2021/Sevilla-Stats
30,46.9,38,20239,2575,7195,8736,4520,560,20229,553,341,61.7,212,38.3,11500,62716,32815,576,468,102,498,268,12660,1168,/en/squads/dcc91a7b/2020-2021/Valencia-Stats
32,45.2,38,19403,2227,6559,8418,4627,558,19395,504,291,57.7,214,42.5,9720,52059,25666,564,423,112,524,328,11055,1089,/en/squads/17859612/2020-2021/Valladolid-Stats
29,55.2,38,24816,2442,7838,11470,5730,819,24803,692,437,63.2,255,36.8,14443,77491,41859,737,558,185,545,336,17313,1608,/en/squads/2a8183b3/2020-2021/Villarreal-Stats
